dataTime,麥寮PT-85126,麥寮PT-85136,麥出PT-851126,彰入PT-M621,彰出PT-M622,大安溪PT-A451,中港溪PT-A441,鳳山溪PT-A461,桃入PT-A421,桃出PT-A422,桃機入PT-C2401,麥出FQ-85136,麥出FQ-85126,彰入FQ-M421,桃入FQ-A421,桃出FQ-A422,前段工況,後段工況
2021-06-24 14:25:12,8.451171875,8.439453125,8.60546875,7.9000000953674316,8.125,BsonNull,BsonNull,BsonNull,7.9875001907348633,0.22499999403953552,0,-0.015625,0.0078125,10.5,0,0,3,2
2021-06-24 14:25:13,8.451171875,8.439453125,8.60546875,7.8874998092651367,8.1125001907348633,BsonNull,BsonNull,BsonNull,7.9875001907348633,0.21250000596046448,0,-0.015625,0.0078125,10.649999618530273,0,0,3,2
2021-06-24 14:25:14,8.451171875,8.439453125,8.60546875,7.8874998092651367,8.1125001907348633,BsonNull,BsonNull,BsonNull,8,0.21250000596046448,0,-0.015625,0.0078125,10.649999618530273,0,0,3,2
2021-06-24 14:25:15,8.451171875,8.439453125,8.60546875,7.8874998092651367,8.1000003814697266,BsonNull,BsonNull,BsonNull,8,0.21250000596046448,0,-0.015625,0.0078125,10.949999809265137,0,0,3,2
2021-06-24 14:25:16,8.451171875,8.439453125,8.60546875,7.8874998092651367,8.1000003814697266,BsonNull,BsonNull,BsonNull,8,0.21250000596046448,0,-0.015625,0.0078125,10.949999809265137,0,0,3,2
2021-06-24 14:25:17,8.451171875,8.439453125,8.60546875,7.8625001907348633,8.0874996185302734,BsonNull,BsonNull,BsonNull,8.0124998092651367,0.21250000596046448,0,-0.015625,0.0078125,10.949999809265137,0,0,3,2
2021-06-24 14:25:18,8.451171875,8.439453125,8.60546875,7.8625001907348633,8.0874996185302734,BsonNull,BsonNull,BsonNull,8.0124998092651367,0.22499999403953552,0,-0.015625,0.0078125,10.949999809265137,0,0,3,2
2021-06-24 14:25:19,8.451171875,8.439453125,8.60546875,7.8625001907348633,8.0749998092651367,BsonNull,BsonNull,BsonNull,8.0124998092651367,0.21250000596046448,0,-0.015625,0.0078125,11.100000381469727,0,0,3,2
2021-06-24 14:25:20,8.451171875,8.439453125,8.60546875,7.8625001907348633,8.0749998092651367,BsonNull,BsonNull,BsonNull,8.0249996185302734,0.21250000596046448,0,-0.015625,0.0078125,11.100000381469727,0,0,3,2
2021-06-24 14:25:21,8.451171875,8.439453125,8.60546875,7.8499999046325684,8.0625,BsonNull,BsonNull,BsonNull,8.0249996185302734,0.21250000596046448,0,-0.015625,0.0078125,11.25,0,0,3,2
2021-06-24 14:25:22,8.451171875,8.439453125,8.60546875,7.8499999046325684,8.0625,BsonNull,BsonNull,BsonNull,8.0375003814697266,0.21250000596046448,0,-0.015625,0.0078125,11.25,0,0,3,2
